MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"TB8439874","For Sale","$339,900","1408 JENNINGS Drive","Holiday","Single Family Residence",3,2,"1,102 sqft","0.15 acres","$308","","- -"
"W7878796","For Sale","$307,999","7501 CUMBER Drive","New Port Richey","Single Family Residence",3,2,"1,563 sqft","0.12 acres","$197","","- -"
"TB8435938","For Sale","$334,999","7144 FAIRFAX Drive","Port Richey","Single Family Residence",4,2,"2,000 sqft","0.13 acres","$167","","- -"
"TB8343497","For Sale","$200,000","9608 RICHWOOD Lane","Port Richey","Single Family Residence",3,2,"1,008 sqft","0.13 acres","$198","","- -"
"TB8428123","For Sale","$348,500","5255 SCHOOL Road","New Port Richey","Single Family Residence",3,2,"1,500 sqft","0.16 acres","$232","","- -"
"TB8408279","For Sale","$299,900","7846 ROYAL HART Drive","New Port Richey","Single Family Residence",3,2,"1,173 sqft","0.17 acres","$256","","- -"
"W7874409","For Sale","$300,000","11444 LAKE Drive","New Port Richey","Manufactured Home",3,2,"1,480 sqft","0.27 acres","$203","","- -"
"W7878400","For Sale","$314,999","3111 KILBURN Road","Holiday","Single Family Residence",3,2,"1,284 sqft","0.12 acres","$245","","- -"
"TB8419961","For Sale","$325,000","9720 GRAY FOX Lane","Port Richey","Single Family Residence",3,2,"1,442 sqft","0.12 acres","$225","","- -"
"TB8419628","For Sale","$285,000","10824 OLDHAM Road","Port Richey","Single Family Residence",3,2,"1,454 sqft","0.15 acres","$196","","- -"
"TB8413551","For Sale","$305,000","7102 CHERRY LAUREL Drive","Port Richey","Single Family Residence",3,2,"1,423 sqft","0.14 acres","$214","","- -"
"TB8390941","For Sale","$265,000","9915 AETNA Lane","Port Richey","Single Family Residence",3,2,"1,244 sqft","0.12 acres","$213","","- -"
"TB8402886","For Sale","$322,500","5116 PLANTATION Drive","Holiday","Single Family Residence",3,2,"1,446 sqft","0.14 acres","$223","","- -"
"O6278496","For Sale","$250,000","3818 MOOG Road","Holiday","Single Family Residence",3,2,"1,047 sqft","0.12 acres","$239","","- -"
"U8242973","For Sale","$359,900","2239 OLD GUNN Highway","Odessa","Manufactured Home",3,2,"1,525 sqft","0.37 acres","$236","","- -"
